seed,condition,buffer_size,label_coverage,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,mean_doubt,mean_curiosity,mean_egogate
17,embedding_kcenter,40,5,6,11,6,6,11,0,0,0,0,0,0.017253123223781586,0.022627895697951317,0.6009035110473633
17,egogate_diverse,40,5,4,12,8,7,9,0,0,0,0,0,0.03573395684361458,0.0513303168118,1.920880675315857
17,full,720,5,142,145,142,146,145,0,0,0,0,0,0.008971567265689373,0.009273141622543335,-2.119276309997531e-08
18,none,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan
18,random,40,5,11,2,9,11,7,0,0,0,0,0,0.009754030033946037,0.019174885004758835,0.20479723811149597
18,stratified_random,40,5,8,8,8,8,8,0,0,0,0,0,0.005992797203361988,0.0012658238410949707,-0.27701443433761597
18,doubt,40,5,3,7,13,9,8,0,0,0,0,0,0.09415185451507568,0.16118668019771576,6.233468055725098
18,curiosity,40,5,3,6,13,9,9,0,0,0,0,0,0.09318037331104279,0.16149382293224335,6.199812889099121
18,egogate,40,5,3,7,13,9,8,0,0,0,0,0,0.09415185451507568,0.16118669509887695,6.233468055725098
18,embedding_kcenter,40,5,5,12,9,10,4,0,0,0,0,0,0.021037975326180458,0.02242327108979225,0.721150815486908
18,egogate_diverse,40,5,7,12,8,8,5,0,0,0,0,0,0.03983882814645767,0.04973013699054718,1.9844601154327393
18,full,720,5,142,145,142,146,145,0,0,0,0,0,0.009041918441653252,0.009613428264856339,2.6490953430879927e-08
19,none,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan
19,random,40,5,7,10,9,4,10,0,0,0,0,0,0.007911753840744495,0.0039053335785865784,-0.1333058774471283
19,stratified_random,40,5,8,8,8,8,8,0,0,0,0,0,0.0077929869294166565,0.008541746065020561,-0.03970074653625488
19,doubt,40,5,3,12,11,9,5,0,0,0,0,0,0.08961807191371918,0.13769838213920593,6.232920169830322
19,curiosity,40,5,3,11,12,9,5,0,0,0,0,0,0.08883963525295258,0.13843566179275513,6.215106010437012
19,egogate,40,5,3,11,12,9,5,0,0,0,0,0,0.0895225778222084,0.13839566707611084,6.243655204772949
19,embedding_kcenter,40,5,3,9,7,9,12,0,0,0,0,0,0.02166936919093132,0.023920824751257896,0.8851375579833984
19,egogate_diverse,40,5,4,12,9,5,10,0,0,0,0,0,0.038231126964092255,0.046708278357982635,2.0833215713500977
19,full,720,5,142,145,142,146,145,0,0,0,0,0,0.008814055472612381,0.008341810666024685,1.0596381549987655e-08
